LandProvince;SeaZone;x;y;
12;19;1728;1727;
15;19;1732;1748;
27;26;2049;1640;
43;47;1571;1812;
45;51;1487;1814;
46;52;1447;1823;
18;33;1681;1785;
82;67;1395;1887;
83;71;1391;1907;
85;70;1321;1914;
89;73;1360;1962;
534;348;1173;1729;
535;348;1149;1777;
570;222;1214;1486;
577;223;1207;1552;
575;156;1236;1519;
568;157;1253;1480;
564;156;1278;1540;
540;156;1250;1570;
563;110;1291;1568;
227;115;1649;1580;
234;112;1595;1605;
430;127;1916;1343;
547;205;1026;1253;
544;204;1041;1212;
551;208;1118;1127;
555;8;1129;1073;
580;198;1137;902;
585;191;1439;866;
581;511;1834;901;
594;184;1860;966;
537;134;1854;1022;
596;147;1978;1017;
600;147;1996;1033;
601;148;2039;1049;
538;149;2106;1117;
306;114;1556;1567;
269;113;1588;1555;
320;115;1693;1573;
355;117;1760;1540;
371;121;1807;1499;
376;122;1835;1458;
409;126;1846;1388;
422;129;1862;1326;
425;129;1824;1330;
445;129;1834;1290;
465;132;1878;1164;
495;134;1833;1066;
492;166;1781;1100;
490;168;1747;1126;
488;178;1741;1161;
485;178;1732;1187;
477;176;1680;1250;
391;163;1700;1401;
297;145;1616;1438;
293;139;1570;1456;
235;138;1526;1434;
287;137;1546;1516;
883;140;1506;1396;
877;140;1519;1382;
871;143;1576;1375;
857;171;1646;1337;
853;173;1622;1274;
848;174;1592;1233;
829;180;1631;1174;
813;168;1690;1103;
808;168;1729;1079;
764;183;1783;975;
760;186;1752;921;
755;186;1731;909;
746;188;1627;885;
741;189;1559;907;
675;191;1476;917;
585;191;1439;866;
667;192;1353;926;
659;196;1226;931;
611;11;1152;1013;
622;213;1202;1135;
550;202;1089;1094;
551;208;1118;1127;
555;8;1129;1073;
927;214;1245;1172;
650;217;1309;1177;
895;216;1278;1232;
715;220;1326;1232;
947;206;1070;1220;
606;181;1081;1327;
952;167;1127;1338;
906;159;1232;1362;
911;155;1310;1438;
890;153;1417;1476;
411;171;1695;1308;
437;129;1846;1295;
end;end;-1;-1;
